prediction_date,target_date,rank,ticker,name,market,prediction_type,thesis,trigger_condition,invalidation_condition,close_price,change_pct,triggered,invalidated,result,review_note
2026/6/21,2026/6/22,2,06613.HK,蓝思科技H,港股,弹性进攻,AI硬件和人工智能消费政策共振，观察强势后能否继续站稳,守住29.5-30.0且强于恒科；突破31更强,跌回29.0且冲高回落明显,,,,,待复盘,
2026/6/21,2026/6/22,3,002156,通富微电,A股,弹性进攻,半导体封测链延续，受AI算力和半导体景气预期支撑,守住67附近并重新挑战69-70,跌破65且放量回落,,,,,待复盘,
2026/6/21,2026/6/22,4,600114,东睦股份,A股,核心承接,机器人和高端制造链趋势未坏，观察43附近承接后能否再攻,守住43附近并重新挑战45.15,跌破42.0且放量转弱,,,,,待复盘,
2026/6/21,2026/6/22,5,002837,英维克,A股,核心承接,液冷温控仍在算力主线内，但上一交易日只算部分命中，必须收盘转强确认,守住72-73并收盘站回75.5上方,跌破72且放量走弱,,,,,待复盘,
2026/6/21,2026/6/22,6,000636,风华高科,A股,稳健观察,被动元件和AI终端链保持趋势，适合作为稳健观察样本,守住74附近并继续强于电子元件板块；突破76更强,跌破72且放量走弱,,,,,待复盘,
2026/6/21,2026/6/22,7,002436,兴森科技,A股,弹性进攻,PCB和封装基板强势延续，但前一交易日涨幅较大，明天只做承接确认,回踩50-52不破后再转强；或收盘继续强于半导体链,跌破50且放量回落,,,,,待复盘,
2026/6/21,2026/6/22,8,09880.HK,优必选,港股,非规则票,人工智能消费和机器人政策催化下的港股机器人弹性观察,强于恒科并站稳近期短线平台,高开冲高回落或跌破短线支撑,,,,,待复盘,
2026/6/21,2026/6/22,9,688333,铂力特,A股,非规则高风险观察,3D打印和高端制造情绪强，但前期涨幅大，只观察分歧承接,缩量回踩不破前一交易日强势区间并尾盘收回,高开低走或放量长上影,,,,,待复盘,
2026/6/21,2026/6/22,10,301269,华大九天,A股,非规则票,EDA和国产软件方向受半导体自主可控情绪映射，观察补涨弹性,放量站上短线均线并强于半导体软件方向,放量跌回短线均线下方,,,,,待复盘,
2026/6/21,2026/6/22,11,600703,三安光电,A股,非规则票,化合物半导体低位修复样本，偏补涨观察而非主规则执行,放量站稳短线平台并强于半导体板块,跌回平台下沿且量能放大,,,,,待复盘,
2026/6/21,2026/6/22,12,002475,立讯精密,A股,非规则票,AI终端和人工智能消费政策映射的大票观察，弹性弱但确定性相对高,站回短线均线并强于消费电子板块,冲高回落且未站回均线,,,,,待复盘,

