"预测日期","目标日期","排名","代码","名称","市场","预测类型","预测逻辑","触发条件","失效条件","收盘价","涨跌幅","是否触发","是否失效","复盘结果","复盘备注","是否计入准确率"
"2026/7/8","2026/7/9","8","09880.HK","优必选","港股","非规则观察-机器人","优必选7月8日收88.30，日内从93.35回落，机器人弹性仍在但承接弱于互联网核心；只做博弈温度样本。","只看回踩85.5-88.0不破后重新站回91；若开盘冲高但不能站回91，不触发。","跌破85降级；放量跌破82视为失效。若机器人链未扩散，本票按非规则观察处理。","87.70","-0.68%","否","否","部分命中","收盘87.70；低点86.15守住85.5-88承接区，未站回91触发位，机器人弹性不足，记部分命中。","是"
"2026/7/9","2026/7/10","1","00981.HK","中芯国际","港股","稳健观察","7月9日港股中芯国际收83.55、+10.22%，港股半导体最强锚。明天只看回踩承接，不追高。","最佳买点：回踩79.5-82.0不破，重新站回84.5；若高开超过4%不追，先看30分钟承接。","跌破77.0降级；放量跌破75.0视为失效。若A股半导体转弱，同步降权。","79.65","-4.67%","否","否","未命中","收盘79.65，-4.67%；低点78.75跌破79.5-82.0承接区，收盘也未站回84.5确认位。虽未跌破77.0降级线，但港股半导体权重承接失败。数据：腾讯行情快照，开84.95/高87.60/低78.75/收79.65。","是"
"2026/7/9","2026/7/10","2","01347.HK","华虹宏力","港股","条件观察-半导体弹性","7月9日收201.80、+8.44%，半导体弹性继续兑现；但港股波动大，明天需要确认承接。","升级条件：回踩192-198不破，尾盘站回205；若直接冲高到210上方，不追。","跌破186降级；放量跌破180视为失效。若收盘不能站回198，只记部分观察。","185.50","-8.08%","否","是","未命中","收盘185.50，-8.08%；低点183.90跌破186降级线，收盘也低于198与205升级位，半导体弹性样本明显回撤。数据：腾讯行情快照，开204.20/高218.80/低183.90/收185.50。","是"
"2026/7/9","2026/7/10","3","00700.HK","腾讯控股","港股","稳健观察","7月9日收469.60、-1.92%，互联网龙头弱于半导体，但仍守住467附近低点；明天只作为恒科承接观察，不做进攻票。","最佳买点：回踩466-472不破，重新站回476；若尾盘站回480，确认度更高。","跌破462降级；放量跌破456视为失效。若恒科弱且腾讯不能站回476，不升级。","460.20","-2.00%","否","是","未命中","收盘460.20，-2.00%；低点458.80跌破462降级线，收盘也未站回476，腾讯承接转弱。虽未破456深失效位，但按规则记未命中。数据：腾讯行情快照，开472.80/高473.60/低458.80/收460.20。","是"
"2026/7/9","2026/7/10","4","09988.HK","阿里巴巴-W","港股","稳健观察","7月9日收108.00、+0.47%，仍在承接区上方但未完成强确认。明天只看能否重新转强。","最佳买点：回踩106-108不破，重新站回110；高开超过4%不追。","跌破103.5降级；放量跌破100视为失效。若收盘不能站回110，最多记部分命中。","110.20","+2.04%","否","否","部分命中","收盘110.20，+2.04%；低点109.00高于106-108理想承接区，没有给到标准回踩买点，但收盘重新站回110。方向正确、执行位不完整，只记部分命中。数据：腾讯行情快照，开110.00/高113.00/低109.00/收110.20。","是"
"2026/7/9","2026/7/10","5","00388.HK","香港交易所","港股","稳健观察","7月9日收380.40、-0.11%，波动低于互联网和半导体。若港股成交活跃延续，港交所可作为偏防守的高流动性样本。","最佳买点：回踩377-381不破，重新站回384；若指数弱但港交所守稳，可记部分命中。","跌破372降级；放量跌破368视为失效。若成交活跃度下降，本票不升级。","385.00","+1.21%","是","否","命中","收盘385.00，+1.21%；低点381.00守住377-381承接区上沿，收盘站回384，港交所作为防守样本兑现。数据：腾讯行情快照，开383.00/高392.80/低381.00/收385.00。","是"
"2026/7/9","2026/7/10","6","01810.HK","小米集团-W","港股","条件观察-AI终端/汽车","7月9日收25.00、-1.19%，守住24.48低点但没有转强，明天只看消费电子/汽车链能否修复。","升级条件：回踩24.5-25.0不破，14:30后站回25.4；若恒科弱，不升级。","跌破24.0降级；放量跌破23.3视为失效。若收盘低于25.0，按未兑现或部分观察处理。","25.84","+3.36%","是","否","命中","收盘25.84，+3.36%；低点24.50落在24.5-25.0承接区，尾盘站回25.4升级位，小米条件观察兑现。数据：腾讯行情快照，开25.22/高26.30/低24.50/收25.84。","是"
"2026/7/9","2026/7/10","7","09618.HK","京东集团-SW","港股","条件观察-互联网消费","7月9日收107.70、-0.65%，弱修复但低点107.60较稳。作为互联网消费线补充样本，优先级低于半导体。","升级条件：回踩106-108.5不破，尾盘站回110.5；若互联网平台整体弱，不升级。","跌破104降级；放量跌破101视为失效。若收盘低于108.5，只记观察。","110.20","+2.32%","否","否","部分命中","收盘110.20，+2.32%；低点108.20落在106-108.5承接区上沿，尾盘接近但未站上110.5升级位，京东守承接但确认不足。数据：腾讯行情快照，开109.60/高111.60/低108.20/收110.20。","是"
"2026/7/9","2026/7/10","8","09880.HK","优必选","港股","非规则观察-机器人","7月9日收87.70、-0.68%，仍守住86.15低点，但机器人弹性不足，只作为非规则观察样本。","只看回踩86-88不破后重新站回90.5；若开盘冲高但不能站回90.5，不触发。","跌破84.5降级；放量跌破82视为失效。若机器人链没有扩散，本票不升级。","85.05","-3.02%","否","否","未命中","收盘85.05，-3.02%；低点84.50已跌出86-88承接区，收盘也未站回90.5，机器人非规则样本未兑现。虽未跌破82深失效位，但按港股规则记未命中。数据：腾讯行情快照，开89.00/高90.75/低84.50/收85.05。","是"
"2026/7/12","2026/7/13","1","00388.HK","香港交易所","港股","稳健观察","7月10日收385.00、+1.21%，周五港股里承接最干净，且直接受益于市场成交活跃。相较半导体和互联网高波动票，港交所更适合作为周一港股正式规则票。 ","最佳买点：回踩382-384不破，重新站回386；若指数弱但港交所守稳，可记部分命中。","跌破379降级；放量跌破376视为失效。若成交活跃度明显下降，本票不升级。","387.60","+0.68%","是","否","命中","开383.80/高391.20/低383.80/收387.60。低点落在382-384承接区，收盘站回386，港交所完成标准回踩与确认。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","2","09988.HK","阿里巴巴-W","港股","稳健观察","7月10日收110.20、+2.04%，互联网平台里修复最稳定之一。若周一恒科继续修复，阿里更适合作为互联网承接锚，而不是去追半导体高弹性。","最佳买点：回踩109-109.8不破，重新站回111；高开超过4%不追。","跌破108降级；放量跌破106.8视为失效。若恒科弱且阿里收回109下方，最多记部分命中。","110.70","+0.45%","否","否","部分命中","开110.80/高115.10/低110.30/收110.70。方向偏强但低点未进入109-109.8理想买点，收盘又略低于111确认位；执行条件不完整，记部分命中。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","3","01093.HK","石药集团","港股","稳健观察","7月10日收8.11、+3.44%，在港股医药里表现相对稳，且A股创新药周五走强有映射。考虑到港股科技波动仍大，石药适合作为防守型正式样本。 ","最佳买点：回踩7.95-8.02不破，重新站回8.18；若高开超过4%不追。","跌破7.82降级；放量跌破7.66视为失效。若医药板块弱于恒指且本票不能站回8.18，不触发。","8.16","+0.62%","否","否","部分命中","开8.11/高8.26/低7.90/收8.16。盘中跌出7.95-8.02承接区后修复，但收盘仍未站上8.18；防守方向尚可，确认不足记部分命中。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","4","01810.HK","小米集团-W","港股","条件观察-AI终端/汽车","7月10日收25.84、+3.36%，周五已经兑现过一次条件观察。周一若消费电子/汽车链继续修复，它仍可观察，但不适合直接升级为稳健票。","升级条件：回踩25.2-25.5不破，14:30后站回26.0；若高开超过4%且30分钟内跌回25.5下方，不买。","跌破24.9降级；放量跌破24.4视为失效。若恒科强但小米弱于指数，不升级。","25.84","+0.00%","否","否","部分命中","开25.84/高26.78/低25.58/收25.84。盘中突破26但收盘跌回确认位下方，且低点未给25.2-25.5标准买点；仅有盘中热度，记部分命中。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","5","00700.HK","腾讯控股","港股","条件观察-互联网平台","腾讯7月10日收460.20、-2.00%，刚跌破短线承接位，周一更适合当作修复确认样本，而不是直接当稳健票。若它不能修复，港股互联网整体很难全面转强。","升级条件：回踩458-461不破，尾盘重新站回466；若只盘中冲高、收盘低于463，不升级。","跌破456降级；放量跌破452视为失效。若恒科弱且腾讯继续低于460，本票放弃。","457.60","-0.56%","否","否","未命中","开463.20/高473.80/低456.20/收457.60。冲高后收盘跌回458-461承接区下方，未站回466；虽未跌破452深失效位，但互联网平台修复确认失败。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","6","09618.HK","京东集团-SW","港股","条件观察-互联网消费","7月10日收110.20、+2.32%，走势比腾讯更稳，但尾盘还是差一点确认。作为互联网消费补充样本，优先级低于阿里和港交所。","升级条件：回踩109-109.8不破，尾盘站回111；若互联网平台整体弱，不升级。","跌破108降级；放量跌破106.8视为失效。若收盘低于109.8，只记观察。","113.20","+2.72%","是","否","命中","开110.00/高114.50/低109.60/收113.20。低点落在109-109.8承接区，尾盘站稳111上方，京东条件观察兑现。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","7","00981.HK","中芯国际","港股","条件观察-半导体承接","港股中芯国际7月10日收79.65、-4.67%，半导体仍有长期逻辑，但周五明显走弱。周一只能等回踩企稳后的二次确认，不直接当正式规则票。","升级条件：回踩78.8-79.5不破，尾盘重新站回81.5；若高开超过4%或直接冲83上方，不追。","跌破77.8降级；放量跌破76.8视为失效。若A股半导体继续弱化，本票不升级。","78.35","-1.63%","否","是","未命中","开80.05/高84.80/低76.65/收78.35。盘中冲高后跌破76.8深失效位，收盘也未站回81.5，港股半导体承接再次失败。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/12","2026/7/13","8","01347.HK","华虹宏力","港股","非规则观察-半导体弹性","7月10日收185.50、-8.08%，华虹宏力弹性很强但波动更大，只适合记录港股半导体情绪是否回流，不作为主规则放宽依据。","只看回踩183-186不破后重新站回191；若高开冲高但不能站回191，不触发。","跌破180降级；放量跌破176视为失效。若收盘低于186，按非规则未兑现处理。","172.30","-7.12%","否","是","未命中","开185.50/高191.40/低171.00/收172.30。盘中触及191后大幅回落，跌破176深失效位并收在186下方，非规则半导体弹性样本未兑现。 数据日期：2026-07-13；来源：腾讯行情日线。","是"
"2026/7/14","2026/7/14","1","00883.HK","中国海洋石油","港股","稳健观察","7月13日收22.26、+2.02%，隔夜WTI原油上涨约1.8%，能源方向具备外盘顺风和高股息防守属性。港股正式票优先，但高开超过4%仍不追。","最佳买点：回踩22.0-22.2不破，重新站回22.4；高开超过4%必须等30分钟回踩。","跌破21.7降级，放量跌破21.4视为失效；若油价和港股能源同步冲高回落，不触发。","","","","","待复盘","2026-07-14全量样本；港股独立台账，计入全量准确率。","是"
"2026/7/14","2026/7/14","2","00941.HK","中国移动","港股","稳健观察","7月13日收79.25、+0.63%，连续多日保持上升结构，兼具高股息和低科技估值敏感度，适合在海外半导体大跌背景下作为防守锚。","最佳买点：回踩78.6-79.0不破，尾盘站回79.5；高开超过4%不追。","跌破78.0降级，放量跌破77.4视为失效；若高股息权重整体弱于恒指，不触发。","","","","","待复盘","2026-07-14全量样本；港股独立台账，计入全量准确率。","是"
"2026/7/14","2026/7/14","3","01093.HK","石药集团","港股","稳健观察","7月13日收8.16、+0.62%，在恒生科技走弱时保持防守；A股创新药和康复政策提供情绪映射，但仍要求收盘确认。","最佳买点：回踩7.98-8.08不破，尾盘站回8.22；高开超过4%不追。","跌破7.82降级，放量跌破7.66视为失效；若港股医药弱于恒指且不能站回8.22，不触发。","","","","","待复盘","2026-07-14全量样本；港股独立台账，计入全量准确率。","是"
"2026/7/14","2026/7/14","4","00388.HK","香港交易所","港股","非规则条件观察-交易活跃度","港交所7月13日收387.60、+0.68%，连续两次承接较好，但隔夜全球风险偏好转弱可能压制成交与估值，今天降为条件观察。","升级条件：回踩383.8-386不破，尾盘站回389；高开超过4%不追。","跌破381降级，放量跌破377视为失效；若恒指与成交额同步收缩，本票不升级。","","","","","待复盘","2026-07-14全量样本；港股独立台账，计入全量准确率。","是"
"2026/7/14","2026/7/14","5","09618.HK","京东集团-SW","港股","非规则条件观察-互联网消费","7月13日收113.20、+2.72%，上一交易日完成标准回踩确认；但隔夜纳指与AI股明显转弱，今天不连续升级，只看能否守住昨日突破。","升级条件：回踩111.0-112.5不破，尾盘站回114.5；高开超过4%不追。","跌破109.5降级，放量跌破108视为失效；若恒生科技继续走弱且京东收盘低于112.5，不升级。","","","","","待复盘","2026-07-14全量样本；港股独立台账，计入全量准确率。","是"
"2026/7/14","2026/7/14","6","01088.HK","中国神华","港股","非规则条件观察-高股息能源","7月13日收41.54、+1.66%，高股息能源在港股风险环境中相对稳，但煤炭与油价并非完全同一驱动，今天只作为能源扩散验证。","升级条件：回踩40.8-41.3不破，尾盘站回41.8；高开超过4%不追。","跌破40.4降级，放量跌破39.8视为失效；若只有油气上涨、煤炭不跟随，本票不升级。","","","","","待复盘","2026-07-14全量样本；港股独立台账，计入全量准确率。","是"
